lat,lng
40.579889, -74.478500
40.496127121926136, -74.36956336095118
40.49545496638023, -74.38044372445472
40.498666868338745, -74.3672907809685
40.4993565928832, -74.36669374567153
40.512143361819064, -74.34037358108435
40.50807851748577, -74.34553901138413
40.51196923935312, -74.3372083859999
40.51746859106847, -74.33078303521914
40.5164614634046, -74.3236030112789
40.51870301219029, -74.31778047639717
40.51515266299465, -74.27098741186529
40.518981044739476, -74.26371130760998
40.521788124155414, -74.26103005868114
40.55185859212362, -74.25780455433181
40.56648302626689, -74.22150015964814
40.56831626261103, -74.2205084629064
40.56994535155384, -74.22029839904206
40.57148534223294, -74.21943860283918
40.573092089892334, -74.21822707186365
40.581307528319726, -74.21270491925435
40.58259580827999, -74.21401283586462
40.58471124575141, -74.21393248604457
40.636419788980355, -74.20393881868493
40.637440198480576, -74.20277235297786
40.63750781542446, -74.20210001507566